Date,Close,High,Low,Open,Volume,Stock
,MSFT,MSFT,MSFT,MSFT,MSFT,
2022-01-03,325.634765625,328.79626820388347,320.80009741690554,326.21843357688016,28865100,MSFT
2022-01-04,320.0511474609375,326.07259764590106,317.23982720636457,325.71264771890316,32674300,MSFT
2022-01-05,307.7649841308594,317.19112801347296,307.37588205960316,316.9868249346307,40054300,MSFT
2022-01-06,305.3330078125,310.0217656533553,303.0080736020656,304.622875128913,39646100,MSFT
2022-01-07,305.4887390136719,307.8817452139908,301.64628513715576,305.5957294780859,32720000,MSFT
2022-01-10,305.7124938964844,306.1502523809237,296.39336802101064,301.062653317601,44289500,MSFT
2022-01-11,306.4031066894531,307.9886968599788,301.45171092918275,304.84666874501306,29386800,MSFT
2022-01-12,309.6034851074219,314.60353696148184,308.44588647775686,310.96538680343946,34372200,MSFT
2022-01-13,296.50030517578125,312.14246451080345,295.7221009951654,311.7436252200972,45366000,MSFT
2022-01-14,301.7532958984375,302.3564086085924,295.4789168995165,295.96530194791075,39846400,MSFT
2022-01-18,294.4088134765625,301.36411254109385,293.5235892775738,295.790159839725,42333200,MSFT
2022-01-19,295.0703125,305.36223577548463,294.4574923336944,297.9497330886086,45933900,MSFT
2022-01-20,293.3874206542969,303.16374670375416,292.9399547929001,300.654013313696,35380700,MSFT
2022-01-21,287.9691467285156,295.82911648964756,287.56057020283265,294.4477994991637,57984400,MSFT
2022-01-24,288.2998046875,289.0196448992482,268.53311359414414,284.24337091095356,85731500,MSFT
2022-01-25,280.6343994140625,286.9574042251114,277.40482567237643,283.5818912385189,72848600,MSFT
2022-01-26,288.630615234375,300.09958331074847,285.05082830215923,299.60346104770645,90428900,MSFT
2022-01-27,291.67535400390625,298.932209910728,289.8173597366347,294.4185725358936,53481300,MSFT
2022-01-28,299.8661193847656,300.08012999341486,286.4321667298066,292.05477669895004,49743700,MSFT
2022-01-31,302.5120544433594,303.8739266373001,298.0275688741196,300.53733234049855,46444500,MSFT
2022-02-01,300.3525085449219,302.17158390005085,296.82134829715966,301.9575732884717,40950400,MSFT
2022-02-02,304.9245300292969,306.53933207840674,300.4692557003281,301.19883332986984,36636000,MSFT
2022-02-03,293.0469665527344,302.7552219741665,291.79208492313614,301.0625819638804,43730000,MSFT
2022-02-04,297.6092834472656,300.3913916526521,291.8018448276198,292.0353001493062,35096500,MSFT
2022-02-07,292.7551574707031,299.4575276563962,291.73373110957107,297.8330183026639,28533300,MSFT
2022-02-08,296.266845703125,297.2396157585428,291.7823899972102,293.0469791946189,32421200,MSFT
2022-02-09,302.73577880859375,303.43617447800517,299.0198195356215,301.4322704184702,31284700,MSFT
2022-02-10,294.1462707519531,300.70273268836434,292.5120238689188,295.7610729173056,45386200,MSFT
2022-02-11,287.006103515625,296.00422709422884,286.2084248952271,294.9341740286448,39175600,MSFT
2022-02-14,286.9671936035156,288.6792785633671,283.4165885013323,285.7706756345391,36359500,MSFT
2022-02-15,292.2882080078125,292.609209051119,288.932139576683,291.84074211252357,27058300,MSFT
2022-02-16,291.94708251953125,293.2825285212972,286.2738465978352,290.8455745770607,29982100,MSFT
2022-02-17,283.3982238769531,289.31512471612086,282.6866227036371,288.88621849493984,32461600,MSFT
2022-02-18,280.6688537597656,286.4493014013889,279.08971235663495,285.65973069982357,34264000,MSFT
2022-02-22,280.464111328125,284.1877834917161,277.32531396607703,277.812704676035,41736100,MSFT
2022-02-23,273.2019958496094,284.34377082174444,273.03629965616943,282.86208392715645,37811200,MSFT
2022-02-24,287.160888671875,287.7165212860402,264.6726715319733,265.63772547972644,56989700,MSFT
2022-02-25,289.8122863769531,290.12422359753356,284.2950194983155,287.69702717357785,32546700,MSFT
2022-02-28,291.2549133300781,291.59609273510875,285.61092126640744,286.8878823912085,34627500,MSFT
2022-03-01,287.51177978515625,292.4051716010198,284.7823740737529,288.9251949366631,31217800,MSFT
2022-03-02,292.6196594238281,293.8673785477649,286.29333703933276,287.91144814315027,31873000,MSFT
2022-03-03,288.4573974609375,295.48556479155076,286.63453079659325,295.2516267161162,27314500,MSFT
2022-03-04,282.55010986328125,288.2038595827067,279.92797538105896,286.8684138832805,32356500,MSFT
2022-03-07,271.8763427734375,282.38448735317786,271.5059210014731,281.2537371143296,43157200,MSFT
2022-03-08,268.8934326171875,276.79889483000477,263.1909559552312,270.7942383391963,48159500,MSFT
2022-03-09,281.2245178222656,282.29678363184183,273.69920197866236,276.29212484619154,35204500,MSFT
2022-03-10,278.3878173828125,279.37235611943896,273.5041530332084,275.8826220369622,30628000,MSFT
2022-03-11,273.0070495605469,282.2089888863428,272.38317514959226,280.6980597805448,27209300,MSFT
2022-03-14,269.4686279296875,278.202662737741,268.86426809726044,273.27027022073963,30660700,MSFT
2022-03-15,279.908447265625,280.5615638325432,271.7008052928567,273.2799462556572,34245100,MSFT
2022-03-16,286.9659118652344,287.14136537848043,276.05810557225556,281.8190374929418,37826300,MSFT
2022-03-17,287.77496337890625,288.1551126523713,282.072486293192,285.8936424341939,30816600,MSFT
2022-03-18,292.8535461425781,293.4091786369837,285.347747793667,287.921155021076,43390600,MSFT
2022-03-21,291.61566162109375,292.5709582806592,287.4630825627041,291.3524813032419,28351200,MSFT
2022-03-22,296.3921203613281,297.30841753619586,291.23551685561114,292.23954081343726,27599700,MSFT
2022-03-23,291.93731689453125,295.583020120207,290.2119642602753,292.9316131142483,25715400,MSFT
2022-03-24,296.4310607910156,296.5285448908371,290.79682489779265,291.59615286917006,24484500,MSFT
2022-03-25,296.0216369628906,297.7957464215104,291.74236167311045,297.53256612739574,22566500,MSFT
2022-03-28,302.8646545410156,302.96210890248284,296.6552707705214,296.6552707705214,29578200,MSFT
2022-03-29,307.4558410644531,307.8555050551628,301.25621516316215,305.99366879267336,30393400,MSFT
2022-03-30,305.9449157714844,307.9822353410379,303.72241507994283,305.84746141716585,28163600,MSFT
2022-03-31,300.5349426269531,307.1927182764346,300.1255509730736,305.9839687435115,33422100,MSFT
2022-04-01,301.6169128417969,302.30899939577387,297.8347557615202,301.5681559167176,27110500,MSFT
2022-04-04,307.0269470214844,307.1634009699958,301.8995865319646,302.27000828188045,24289600,MSFT
2022-04-05,303.0400085449219,306.92937632582806,302.0554699345316,305.3697203310204,23156700,MSFT
2022-04-06,291.94708251953125,299.2579443522407,289.2274335883309,297.49359207645136,40110400,MSFT
2022-04-07,293.7698974609375,295.99239810286326,288.87650501412816,289.1786849009009,31411200,MSFT
2022-04-08,289.4808349609375,293.52617184109016,288.808233411817,292.8633276253669,24361900,MSFT
2022-04-11,278.066162109375,285.2307818696367,277.81270941652224,284.4314837001225,34569300,MSFT
2022-04-12,274.94683837890625,283.4079337629206,273.4164244465442,281.9457616678411,30966700,MSFT
2022-04-13,280.36663818359375,281.30242005382,274.20601222966815,275.5999723230315,21907200,MSFT
2022-04-14,272.7730407714844,281.0391969860149,272.27592253221314,280.824743907988,28221600,MSFT
2022-04-18,273.44573974609375,275.336818540745,271.32072287308574,271.8763555571584,20778000,MSFT
2022-04-19,278.1051330566406,278.953217898112,271.3889044009939,272.3344435881337,22297700,MSFT
2022-04-20,279.1384582519531,282.3942551322716,278.17343394044303,282.1018027892859,22906700,MSFT
2022-04-21,273.7283935546875,285.90340510019286,272.9973074218899,281.30243518120113,29454600,MSFT
2022-04-22,267.119384765625,276.0581445949156,266.4857827129163,274.5764576123665,29405800,MSFT
2022-04-25,273.64068603515625,274.0208353820041,263.94159742532975,266.39806604300793,35678900,MSFT
2022-04-26,263.4054260253906,271.340130999645,263.1909729316017,270.5018332908129,46518400,MSFT
2022-04-27,276.0776062011719,283.63216251371057,272.11999585469886,274.9858557260027,63477700,MSFT
2022-04-28,282.325927734375,283.6418885091446,274.3619509995726,277.9978961517353,33646600,MSFT
2022-04-29,270.5213928222656,282.569709486261,269.5271262484502,281.33171775194916,37073900,MSFT
2022-05-02,277.29608154296875,277.75423001648835,269.25413454359216,270.7065493914021,35151100,MSFT
2022-05-03,274.67388916015625,276.96463129515183,273.0849907910324,276.79890537561334,25978600,MSFT
2022-05-04,282.6671447753906,283.5444421593352,269.7512901427397,275.4634953465318,33599300,MSFT
2022-05-05,270.355712890625,279.1287482699986,267.4216104277263,278.3391774656931,43260400,MSFT
2022-05-06,267.80169677734375,272.2076978652137,264.42893181498096,267.8796661979223,37780300,MSFT
2022-05-09,257.90771484375,265.49151486071605,256.6795101982503,263.24952897380894,47726000,MSFT
2022-05-10,262.7036437988281,266.8464656398115,258.38536840762276,264.83841790378455,39336400,MSFT
2022-05-11,253.97926330566406,264.5166470895744,252.76078664473116,258.97989628180704,48975900,MSFT
